iter	Precision	Logloss
0	0.8402777778	0.6921147563
1	0.8551724138	0.6911213056
2	0.8671328671	0.6900012285
3	0.8620689655	0.6890232823
4	0.8551724138	0.6881460599
5	0.8661971831	0.6870572118
6	0.8551724138	0.686244046
7	0.8551724138	0.6851855289
8	0.843537415	0.6843422769
9	0.8551724138	0.6833532253
10	0.8671328671	0.6825883072
11	0.8680555556	0.6815526245
12	0.8620689655	0.6807827277
13	0.8689655172	0.679705278
14	0.8680555556	0.6788518461
15	0.8680555556	0.6779423263
16	0.8680555556	0.6769051385
17	0.8680555556	0.675903695
18	0.8680555556	0.6750520164
19	0.8620689655	0.6743128807
20	0.8620689655	0.6734720082
21	0.8571428571	0.672565849
22	0.8620689655	0.6715708434
23	0.8561643836	0.6707758377
24	0.8571428571	0.6699499392
25	0.8630136986	0.6690628527
26	0.8571428571	0.6682764235
27	0.8639455782	0.6672664905
28	0.8639455782	0.6662872752
29	0.8630136986	0.6654525616
30	0.8630136986	0.6645066983
31	0.8689655172	0.6635108167
32	0.875	0.6626543091
33	0.8689655172	0.661654995
34	0.8698630137	0.6606999203
35	0.8689655172	0.6599725511
36	0.8630136986	0.659159453
37	0.8698630137	0.6583444209
38	0.8698630137	0.6576381568
39	0.8698630137	0.6567632765
40	0.8698630137	0.6559609058
41	0.8639455782	0.655197487
42	0.8698630137	0.6544777283
43	0.8698630137	0.6536423539
44	0.8698630137	0.6527904174
45	0.8581081081	0.6519279194
46	0.8581081081	0.6511710551
47	0.8689655172	0.6501958125
48	0.8689655172	0.6492838389
49	0.8689655172	0.6484394274
50	0.8689655172	0.6476584295
51	0.8698630137	0.6467772841
52	0.8698630137	0.6458921203
53	0.8698630137	0.644934255
54	0.8698630137	0.6440087327
55	0.8698630137	0.6431372855
56	0.8689655172	0.6422583468
57	0.8689655172	0.641506321
58	0.8689655172	0.640751541
59	0.8689655172	0.6398074561
60	0.8689655172	0.6388591376
61	0.8689655172	0.638266978
62	0.8689655172	0.6374668012
63	0.8689655172	0.6366018838
64	0.8689655172	0.6359053582
65	0.8689655172	0.6350507828
66	0.8689655172	0.6341578484
67	0.8689655172	0.6334361062
68	0.8689655172	0.6325394692
69	0.8689655172	0.6318312881
70	0.8689655172	0.6311599496
71	0.8689655172	0.6302708835
72	0.8689655172	0.6294174034
73	0.8689655172	0.6286793048
74	0.8689655172	0.6281517662
75	0.8581081081	0.6272839863
76	0.8639455782	0.6264060633
77	0.8698630137	0.6256482105
78	0.8698630137	0.6249105763
79	0.8639455782	0.6242888631
80	0.8639455782	0.6234695178
81	0.8639455782	0.6226793046
82	0.8639455782	0.6218457874
83	0.8639455782	0.6211404633
84	0.8639455782	0.6202830125
85	0.8639455782	0.619404155
86	0.8639455782	0.6185819958
87	0.8698630137	0.6178139119
88	0.8689655172	0.6170602288
89	0.8698630137	0.61620914
90	0.8689655172	0.6155253994
91	0.8689655172	0.6147840929
92	0.8698630137	0.6139773428
93	0.8689655172	0.6133785152
94	0.8689655172	0.6125437766
95	0.8689655172	0.6118594434
96	0.8689655172	0.6111354801
97	0.8689655172	0.6103968594
98	0.8689655172	0.6095764119
99	0.8698630137	0.6087892567
100	0.8698630137	0.6080642426
101	0.8698630137	0.6074842209
102	0.8698630137	0.6067543226
103	0.8698630137	0.6060764069
104	0.8698630137	0.6052277302
105	0.8698630137	0.604488215
106	0.8698630137	0.603741111
107	0.8698630137	0.603070198
108	0.8698630137	0.602356415
109	0.8698630137	0.6017102886
110	0.875862069	0.6010193472
111	0.8698630137	0.6003350509
